"O(4,4)","3"
"C(1,7,2)","53"
"C(1,6,6)","50"
"C(5,8,2)","353"
"C(2,4,0)","113"
"C(3,7,4)","206"
"O(1,1)","0"
"O(2,5)","10"
"C(2,4,1)","109"
"C(2,10,7)","160"
"C(3,5,2)","188"
"C(1,2,2)","28"
"C(1,2,0)","29"
"C(1,5,2)","40"
"C(2,10,8)","161"
"C(1,6,1)","45"
"C(1,4,3)","35"
"C(3,7,5)","207"
"O(1,2)","22"
"C(1,4,2)","33"
"C(1,3,3)","36"
"C(5,9,9)","369"
"C(3,5,1)","186"
"C(3,8,7)","217"
"C(3,6,6)","201"
"C(1,6,2)","46"
"C(1,10,9)","87"
"C(3,11,3)","243"
"C(1,11,8)","97"
"C(2,8,0)","135"
"C(2,10,1)","154"
"C(5,7,5)","348"
"C(1,8,2)","61"
"C(1,11,3)","92"
"C(1,6,0)","51"
"C(1,7,6)","57"
"C(1,5,1)","39"
"C(1,5,3)","41"
"C(2,10,5)","158"
"C(3,9,6)","232"
"C(1,11,5)","94"
"C(1,5,5)","43"
"O(1,5)","24"
"C(1,5,0)","44"
"C(2,3,3)","107"
"O(4,1)","9"
"C(2,10,2)","155"
"C(5,8,4)","355"
"C(1,11,7)","96"
"C(3,6,4)","199"
"O(5,3)","19"
"C(1,9,7)","75"
"O(5,1)","11"
"C(1,10,8)","86"
"C(1,7,1)","52"
"C(2,6,0)","120"
"C(3,8,4)","214"
"C(2,3,2)","105"
"C(1,9,6)","74"
"C(1,7,4)","55"
"C(4,4,1)","261"
"C(1,7,5)","56"
"C(4,8,7)","292"
"C(2,6,4)","128"
"C(2,7,5)","129"
"C(2,8,8)","151"
"C(3,5,4)","192"
"C(3,7,3)","205"
"C(2,6,5)","130"
"O(1,4)","23"
"C(2,7,7)","133"
"C(5,7,2)","345"
"C(2,7,0)","134"
"C(2,11,5)","169"
"C(3,9,4)","228"
"C(3,3,1)","181"
"C(4,6,2)","269"
"C(2,8,1)","137"
"C(2,9,2)","138"
"C(2,8,2)","139"
"C(3,4,2)","189"
"C(3,1,1)","178"
"C(2,8,4)","143"
"C(2,8,7)","149"
"C(2,9,5)","144"
"C(3,6,5)","200"
"C(2,9,8)","150"
"C(2,9,6)","146"
"C(2,10,3)","156"
"C(2,10,4)","157"
"C(1,7,3)","54"
"C(2,10,6)","159"
"C(2,10,9)","162"
"C(5,9,7)","367"
"C(3,5,3)","190"
"C(5,10,9)","389"
"C(2,10,10)","163"
